current_epoch	train_loss	train_acc	train_f_score_hateful	train_f_score_abusive	train_f_score_normal	train_f_score_spam	train_acc_class_hateful	train_loss_class_hateful	train_acc_class_abusive	train_loss_class_abusive	train_acc_class_normal	train_loss_class_normal	train_acc_class_spam	train_loss_class_spam
3.0000	0.7811	0.7242	0.0329	0.4266	0.7693	0.0218	0.0000	3.0418	0.3096	1.7785	0.9834	0.3227	0.0138	1.6064
9.0000	0.3732	0.8584	0.4772	0.7846	0.8995	0.6919	0.4253	1.3599	0.7575	0.6126	0.9467	0.1862	0.6493	0.7649
3.0000	0.7776	0.7235	0.0251	0.4102	0.7886	0.0358	0.0000	3.0474	0.3061	1.7546	0.9813	0.3226	0.0221	1.5988
3.0000	0.7791	0.7225	0.0267	0.4127	0.7713	0.0358	0.0000	3.0169	0.2971	1.7702	0.9809	0.3232	0.0203	1.6059
11.0000	0.3454	0.8698	0.4932	0.8029	0.9053	0.7238	0.4424	1.3335	0.7760	0.5684	0.9500	0.1727	0.6890	0.6944
10.0000	0.3621	0.8645	0.5052	0.7915	0.9032	0.7094	0.4527	1.3332	0.7680	0.6085	0.9476	0.1803	0.6714	0.7241
11.0000	0.3478	0.8699	0.5000	0.8007	0.9074	0.7248	0.4494	1.3428	0.7823	0.5555	0.9514	0.1737	0.6834	0.6967
4.0000	0.7762	0.7241	0.0376	0.4245	0.7624	0.3040	1.7599	0.9819	0.3221	0.0213	1.5947	0.0357	0.0000	3.0301
12.0000	0.3374	0.8725	0.4958	0.8060	0.9119	0.7326	0.4522	1.2869	0.7862	0.5560	0.9505	0.1701	0.6979	0.6765
4.0000	0.7742	0.7247	0.0312	0.4319	0.7710	0.0398	0.0000	3.0134	0.3138	1.7506	0.9815	0.3219	0.0233	1.5893
11.0000	0.3475	0.8691	0.5028	0.7895	0.9090	0.7688	0.5757	0.9490	0.1761	0.6946	0.6892	0.7279	0.4632	1.2845
4.0000	0.7767	0.7228	0.0337	0.4149	0.7767	0.0351	0.0000	3.0089	0.3063	1.7544	0.9808	0.3221	0.0214	1.5937
12.0000	0.3313	0.8771	0.5099	0.8093	0.9122	0.7895	0.5538	0.9540	0.1649	0.7025	0.6662	0.7435	0.4623	1.2622
12.0000	0.3347	0.8742	0.5296	0.8073	0.9121	0.7346	0.4889	1.2252	0.7870	0.5443	0.9511	0.1693	0.7006	0.6762
13.0000	0.3272	0.8761	0.5414	0.8120	0.9120	0.7366	0.4908	1.1818	0.7943	0.5291	0.9522	0.1652	0.6995	0.6717
13.0000	0.3195	0.8797	0.5306	0.8130	0.9147	0.7499	0.4836	1.1924	0.7925	0.5286	0.9542	0.1609	0.7170	0.6320
5.0000	0.7712	0.7246	0.0283	0.4288	0.7802	0.0291	0.0000	3.0171	0.3188	1.7313	0.9822	0.3195	0.0177	1.5852
5.0000	0.7765	0.7236	0.0348	0.4192	0.7687	0.0551	0.0000	3.0343	0.3019	1.7614	0.9798	0.3237	0.0325	1.5867
5.0000	0.7732	0.7250	0.0290	0.4252	0.7740	0.0354	0.0000	3.0224	0.3082	1.7487	0.9827	0.3210	0.0206	1.5894
13.0000	0.3235	0.8787	0.5458	0.8137	0.9121	0.7467	0.5135	1.1745	0.7935	0.5412	0.9519	0.1647	0.7154	0.6427
