valid_acc_class_hateful,valid_acc_class_abusive,current_epoch,valid_loss,valid_acc,valid_f_score_hateful,valid_f_score_abusive,valid_f_score_normal,valid_f_score_spam,valid_loss_class_hateful,valid_loss_class_abusive,valid_acc_class_normal,valid_loss_class_normal,valid_acc_class_spam,valid_loss_class_spam,test_loss,test_acc,test_f_score_hateful,test_f_score_abusive,test_f_score_normal,test_f_score_spam,test_acc_class_hateful,test_loss_class_hateful,test_acc_class_abusive,test_loss_class_abusive,test_acc_class_normal,test_loss_class_normal,test_acc_class_spam,test_loss_class_spam,train_loss,train_acc,train_f_score_hateful,train_f_score_abusive,train_f_score_normal,train_f_score_spam,train_acc_class_hateful,train_loss_class_hateful,train_acc_class_abusive,train_loss_class_abusive,train_acc_class_normal,train_loss_class_normal,train_acc_class_spam,train_loss_class_spam,embedding,embedding_level,seed
0.1929,0.694,9,0.6349,0.7672,0.2312,0.7051,0.8301,0.3829,2.5912,0.974,0.9149,0.2626,0.3143,1.5682,0.6569,0.767,0.2105,0.7187,0.8237,0.3788,0.1355,2.9496,0.7307,0.8763,0.9068,0.2784,0.33,1.5794,0.3732,0.8584,0.4772,0.7846,0.8995,0.6919,0.4253,1.3599,0.7575,0.6126,0.9467,0.1862,0.6493,0.7649,twitter,word,28
0.1307,0.7225,13,0.6726,0.756,0.205,0.7249,0.807,0.4765,3.0225,0.9797,0.8537,0.371,0.4992,1.2142,0.7065,0.7516,0.1445,0.7179,0.8302,0.4494,0.1029,3.4135,0.7217,0.9729,0.8533,0.3812,0.4882,1.253,0.3272,0.8761,0.5414,0.812,0.912,0.7366,0.4908,1.1818,0.7943,0.5291,0.9522,0.1652,0.6995,0.6717,twitter,word,26
0.1578,0.7001,27,0.7582,0.7615,0.2069,0.709,0.8255,0.422,3.4049,1.0995,0.8913,0.3066,0.3873,1.8474,0.786,0.754,0.1889,0.7068,0.8132,0.39,0.1229,3.8595,0.6977,1.0452,0.8853,0.3184,0.3692,1.8918,0.2356,0.9116,0.6702,0.8544,0.9377,0.8251,0.8414,0.3851,0.9632,0.1246,0.806,0.4548,0.6557,0.8008,twitter,word,27
