valid_acc_class_hateful,valid_acc_class_abusive,current_epoch,valid_loss,valid_acc,valid_f_score_hateful,valid_f_score_abusive,valid_f_score_normal,valid_f_score_spam,valid_loss_class_hateful,valid_loss_class_abusive,valid_acc_class_normal,valid_loss_class_normal,valid_acc_class_spam,valid_loss_class_spam,test_loss,test_acc,test_f_score_hateful,test_f_score_abusive,test_f_score_normal,test_f_score_spam,test_acc_class_hateful,test_loss_class_hateful,test_acc_class_abusive,test_loss_class_abusive,test_acc_class_normal,test_loss_class_normal,test_acc_class_spam,test_loss_class_spam,train_loss,train_acc,train_f_score_hateful,train_f_score_abusive,train_f_score_normal,train_f_score_spam,train_acc_class_hateful,train_loss_class_hateful,train_acc_class_abusive,train_loss_class_abusive,train_acc_class_normal,train_loss_class_normal,train_acc_class_spam,train_loss_class_spam,embedding,embedding_level,seed
0.0501,0.5267,82,0.8925,0.669,0.0865,0.4321,0.7504,0.27,2.7359,1.0353,0.8327,0.5729,0.2062,1.7377,0.9109,0.6652,0.0391,0.4228,0.7625,0.2379,0.0131,2.9055,0.5412,1.0082,0.8267,0.5819,0.1858,1.7926,0.7112,0.736,0.0603,0.4841,0.7873,0.1726,0.02,2.7439,0.3673,1.5464,0.969,0.3037,0.1118,1.4671,twitter,character,26
0.0513,0.5177,83,0.913,0.637,0.1054,0.4165,0.7229,0.3341,2.8487,1.3231,0.7552,0.6479,0.3411,1.3591,0.9397,0.626,0.0544,0.4004,0.7232,0.3138,0.0256,3.148,0.4952,1.3028,0.7449,0.6518,0.3297,1.4041,0.6891,0.7413,0.1004,0.4989,0.7972,0.2206,0.0497,2.6026,0.3991,1.4544,0.9641,0.2993,0.1481,1.4199,twitter,character,27
0.0464,0.5074,94,0.8813,0.6557,0.0944,0.4205,0.7339,0.3058,2.7745,1.2434,0.8007,0.5984,0.2742,1.4088,0.9042,0.6533,0.0743,0.4257,0.7391,0.3002,0.0327,2.9954,0.498,1.2405,0.7949,0.5992,0.2857,1.4451,0.6959,0.7397,0.077,0.4942,0.7931,0.2015,0.0296,2.6864,0.3821,1.4775,0.967,0.3011,0.135,1.4369,twitter,character,28
