current_epoch	train_loss	train_acc	train_f_score_hateful	train_f_score_abusive	train_f_score_normal	train_f_score_spam	train_acc_class_hateful	train_loss_class_hateful	train_acc_class_abusive	train_loss_class_abusive	train_acc_class_normal	train_loss_class_normal	train_acc_class_spam	train_loss_class_spam
12.0000	0.5763	0.7780	0.0992	0.6669	0.8220	0.5728	0.9947	0.9832	0.2668	0.1774	1.2540	0.2677	0.0386	2.3183
15.0000	0.5632	0.7821	0.1086	0.6766	0.8261	0.2954	0.0483	2.3322	0.5932	0.9471	0.9816	0.2604	0.1940	1.2301
13.0000	0.5889	0.7783	0.0590	0.6690	0.8173	0.2788	0.0000	2.8135	0.5787	0.9569	0.9827	0.2646	0.1885	1.2388
13.0000	0.5711	0.7794	0.0958	0.6619	0.8310	0.2746	0.0427	2.3245	0.5716	0.9826	0.9829	0.2640	0.1805	1.2494
16.0000	0.5599	0.7835	0.1088	0.6787	0.8322	0.3001	0.0539	2.3046	0.5887	0.9611	0.9807	0.2598	0.2024	1.2215
14.0000	0.5854	0.7792	0.0529	0.6647	0.8238	0.5832	0.9531	0.9823	0.2614	0.1890	1.2359	0.2826	0.0000	2.8240
14.0000	0.5668	0.7811	0.1085	0.6725	0.8271	0.2873	0.0491	2.3196	0.5859	0.9641	0.9818	0.2631	0.1921	1.2319
17.0000	0.5574	0.7836	0.1151	0.6727	0.8406	0.2966	0.0637	2.2608	0.5975	0.9434	0.9810	0.2558	0.1996	1.2259
15.0000	0.5824	0.7804	0.0454	0.6747	0.8260	0.2905	0.0000	2.8410	0.5925	0.9330	0.9820	0.2594	0.1952	1.2296
15.0000	0.5630	0.7823	0.1123	0.6836	0.8253	0.2911	0.0484	2.3147	0.5935	0.9508	0.9815	0.2605	0.1959	1.2293
18.0000	0.5549	0.7854	0.1264	0.6850	0.8323	0.3009	0.0630	2.2636	0.6085	0.9230	0.9807	0.2571	0.2045	1.2210
16.0000	0.5797	0.7815	0.0528	0.6750	0.8212	0.3014	0.0000	2.8554	0.6007	0.9234	0.9807	0.2607	0.2010	1.2196
16.0000	0.5600	0.7829	0.1085	0.6785	0.8343	0.2857	0.0504	2.3238	0.5998	0.9395	0.9816	0.2575	0.1920	1.2352
19.0000	0.5529	0.7859	0.1254	0.6935	0.8238	0.3096	0.0579	2.2786	0.6121	0.9272	0.9801	0.2559	0.2085	1.2135
17.0000	0.5778	0.7820	0.0507	0.6765	0.8219	0.2991	0.0000	2.8577	0.5992	0.9237	0.9812	0.2571	0.1987	1.2241
17.0000	0.5573	0.7844	0.1186	0.6839	0.8234	0.3026	0.0520	2.3052	0.5982	0.9443	0.9809	0.2572	0.2035	1.2206
20.0000	0.5513	0.7866	0.1381	0.6949	0.8256	0.3166	0.0703	2.2697	0.6146	0.9159	0.9797	0.2554	0.2146	1.2058
18.0000	0.5756	0.7830	0.0546	0.6806	0.8258	0.3047	0.0000	2.8477	0.6064	0.9142	0.9807	0.2566	0.2049	1.2174
21.0000	0.5498	0.7864	0.1375	0.6980	0.8255	0.3088	0.0724	2.2736	0.6185	0.9125	0.9800	0.2516	0.2076	1.2172
18.0000	0.5552	0.7846	0.1219	0.6869	0.8315	0.2972	0.0590	2.2919	0.6037	0.9353	0.9807	0.2561	0.2024	1.2194
19.0000	0.5740	0.7833	0.0545	0.6939	0.8266	0.2994	0.0019	2.8546	0.6190	0.9003	0.9804	0.2553	0.2032	1.2179
22.0000	0.5484	0.7877	0.1412	0.7014	0.8217	0.3161	0.0605	2.2701	0.6257	0.9046	0.9794	0.2546	0.2161	1.2046
19.0000	0.5530	0.7859	0.1449	0.6988	0.8185	0.3097	0.0671	2.2496	0.6137	0.9210	0.9799	0.2570	0.2112	1.2078
23.0000	0.5472	0.7881	0.1386	0.7071	0.8234	0.6264	0.9081	0.9800	0.2518	0.2099	1.2139	0.3111	0.0634	2.2714
20.0000	0.5725	0.7845	0.0548	0.6938	0.8245	0.3113	0.0009	2.8448	0.6169	0.9051	0.9804	0.2548	0.2098	1.2080
20.0000	0.5511	0.7867	0.1273	0.6901	0.8282	0.3148	0.0610	2.2909	0.6154	0.9203	0.9802	0.2538	0.2136	1.2091
24.0000	0.5461	0.7888	0.1398	0.7056	0.8379	0.3204	0.0762	2.2459	0.6306	0.9026	0.9792	0.2537	0.2195	1.1957
21.0000	0.5712	0.7852	0.0584	0.6922	0.8254	0.3111	0.0009	2.8555	0.6207	0.8998	0.9801	0.2546	0.2127	1.2108
21.0000	0.5497	0.7868	0.1422	0.6946	0.8299	0.3112	0.0713	2.2633	0.6192	0.9092	0.9799	0.2533	0.2110	1.2094
25.0000	0.5452	0.7889	0.1458	0.7061	0.8287	0.3152	0.0745	2.2503	0.6334	0.8899	0.9788	0.2524	0.2153	1.2051
