valid_acc_class_hateful,valid_acc_class_abusive,current_epoch,valid_loss,valid_acc,valid_f_score_hateful,valid_f_score_abusive,valid_f_score_normal,valid_f_score_spam,valid_loss_class_hateful,valid_loss_class_abusive,valid_acc_class_normal,valid_loss_class_normal,valid_acc_class_spam,valid_loss_class_spam,test_loss,test_acc,test_f_score_hateful,test_f_score_abusive,test_f_score_normal,test_f_score_spam,test_acc_class_hateful,test_loss_class_hateful,test_acc_class_abusive,test_loss_class_abusive,test_acc_class_normal,test_loss_class_normal,test_acc_class_spam,test_loss_class_spam,train_loss,train_acc,train_f_score_hateful,train_f_score_abusive,train_f_score_normal,train_f_score_spam,train_acc_class_hateful,train_loss_class_hateful,train_acc_class_abusive,train_loss_class_abusive,train_acc_class_normal,train_loss_class_normal,train_acc_class_spam,train_loss_class_spam,embedding,embedding_level,seed
0.2482,0.7115,9,0.5674,0.7813,0.278,0.7197,0.8476,0.4748,2.2868,0.9658,0.9053,0.276,0.4231,1.1775,0.5972,0.7747,0.2172,0.7313,0.8409,0.4234,0.172,2.5899,0.7407,0.8957,0.9045,0.2821,0.3778,1.2634,0.444,0.8258,0.3066,0.7638,0.8762,0.5934,0.2483,1.8013,0.7613,0.65,0.9364,0.2161,0.54,0.9281,twitter,word,26
0.2232,0.7326,24,0.6821,0.768,0.2598,0.7263,0.8377,0.4755,3.0865,1.0835,0.8683,0.3377,0.4846,1.3834,0.7179,0.758,0.2014,0.7429,0.8297,0.4321,0.1636,3.5315,0.7704,0.9074,0.8632,0.3501,0.4374,1.481,0.3041,0.8857,0.5437,0.8206,0.9187,0.7789,0.5151,1.1872,0.8194,0.481,0.9521,0.1523,0.7553,0.5744,twitter,word,26
0.174,0.7223,8,0.5556,0.7874,0.2454,0.7291,0.8357,0.4766,2.3485,0.9712,0.9165,0.2573,0.4114,1.148,0.5859,0.7777,0.2,0.7325,0.8471,0.4157,0.1506,2.7004,0.7449,0.8589,0.9113,0.2664,0.367,1.2466,0.4642,0.8193,0.3001,0.7434,0.8724,0.5747,0.238,1.9229,0.7419,0.7081,0.9363,0.2233,0.5163,0.9675,twitter,word,28
0.2119,0.6662,15,0.651,0.78,0.2538,0.7085,0.8426,0.4001,2.7439,1.2466,0.9356,0.1849,0.3256,1.732,0.677,0.7755,0.2069,0.7105,0.8519,0.3694,0.1733,3.1888,0.6674,1.3,0.9309,0.1873,0.3042,1.8007,0.3684,0.862,0.4352,0.7897,0.9038,0.7132,0.3893,1.4753,0.7864,0.5697,0.9472,0.1805,0.6789,0.7225,twitter,word,27
0.1941,0.6919,50,0.8082,0.7698,0.2434,0.7062,0.8364,0.3973,4.022,1.4631,0.9119,0.236,0.3392,2.1426,0.8614,0.7634,0.2176,0.7073,0.8388,0.3683,0.1752,4.5646,0.6839,1.4313,0.9075,0.2418,0.3182,2.2508,0.2146,0.9189,0.6882,0.8596,0.9453,0.848,0.6858,0.7706,0.8708,0.3313,0.9623,0.1131,0.8426,0.3876,twitter,word,28
0.1761,0.727,7,0.5591,0.7786,0.2054,0.7257,0.8482,0.4861,2.3374,0.9398,0.8883,0.2862,0.4719,1.1165,0.5867,0.7707,0.2018,0.731,0.8295,0.4632,0.137,2.5191,0.7223,0.8813,0.8862,0.2943,0.4513,1.1746,0.4744,0.8171,0.2488,0.7507,0.8768,0.5626,0.1994,1.9764,0.7498,0.7102,0.9351,0.228,0.505,0.9879,twitter,word,26
0.2162,0.6914,22,0.6476,0.7752,0.2652,0.704,0.8324,0.4652,3.1336,1.2226,0.9057,0.2457,0.4105,1.4419,0.7022,0.769,0.253,0.7229,0.8255,0.4024,0.1798,3.5286,0.7151,1.1888,0.8998,0.2592,0.3672,1.6222,0.3215,0.877,0.4985,0.8116,0.9159,0.7489,0.4754,1.2524,0.8128,0.5,0.9487,0.1613,0.7271,0.6158,twitter,word,27
